# Sim1Full (Up to date)
# 798 data points written for 58 variables.
#
# Time (s),Altitude (ft),Altitude above sea level (ft),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,591.583,128.2,0.045,7.502e-4,9.792,NaN,66.906,NaN,0,0,0,0.592,0.458,0.014,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.961,90,15,1013.25,0.001,340.389,0.006,1.225e5,6.706,35.315,0.006,0.005,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,591.581,128.198,0.045,7.502e-4,9.792,NaN,66.906,NaN,1.158,0.2,0,0.593,0.459,0.014,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.957,90,15,1013.25,0.001,340.389,0.006,1.223e5,6.706,35.315,0.003,0.009,0
0.009,0,0,0.006,0.006,13.97,13.97,0,0,0,0,2.922e-5,0.07,28.61,-80.6,89.83,0,0,0,90,0,591.572,128.189,0.045,7.502e-4,9.792,NaN,66.905,NaN,14.057,2.427,0,0.593,0.459,0.014,0.12,3.919e-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.956,90,15,1013.25,0.001,340.389,0.006,1.222e5,6.706,35.315,0.003,0.01,7.453e-7
0.011,3.807e-4,3.807e-4,0.112,0.112,73.342,73.342,-9.586e-7,0,9.586e-7,270,2.045e-4,0.07,28.61,-80.6,86.728,0,0,0,90,0,591.535,128.152,0.045,7.502e-4,9.792,NaN,66.904,NaN,49.177,8.49,2.223e-6,0.593,0.459,0.014,0.12,2.681e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.955,90,15,1013.25,0.001,340.389,0.006,1.223e5,6.706,35.315,0.003,0.012,1.431e-5
0.014,0.002,0.002,0.348,0.348,97.31,97.31,-3.36e-6,0,3.36e-6,270,3.816e-4,0.072,28.61,-80.6,79.898,0,0,0,90,0,591.467,128.084,0.045,7.502e-4,9.792,NaN,66.902,NaN,63.348,10.938,6.213e-5,0.591,0.457,0.014,0.12,0.007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.953,90,15,1013.25,0.001,340.389,0.006,1.239e5,6.706,35.315,0.003,0.013,4.455e-5
0.016,0.006,0.006,0.583,0.583,89.679,89.679,-7.234e-6,0,7.234e-6,270,5.645e-4,0.075,28.61,-80.6,73.379,0,0,0,90,0,591.395,128.012,0.045,7.502e-4,9.792,NaN,66.899,NaN,58.827,10.158,2.685e-4,0.588,0.454,0.014,0.12,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.952,90,15,1013.25,0.001,340.389,0.006,1.272e5,6.706,35.315,0.003,0.014,7.459e-5
0.019,0.012,0.012,0.848,0.848,121.162,121.162,-1.265e-5,0,1.265e-5,270,7.576e-4,0.08,28.61,-80.6,66.491,0,0,0,90,0,591.313,127.93,0.045,7.502e-4,9.792,NaN,66.896,NaN,77.435,13.373,7.514e-4,0.583,0.449,0.014,0.12,0.077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.951,90,15,1013.25,0.001,340.389,0.006,1.328e5,6.706,35.315,0.003,0.016,1.086e-4
0.021,0.02,0.02,1.176,1.176,139.147,139.147,-1.971e-5,0,1.971e-5,270,9.691e-4,0.09,28.61,-80.6,58.876,0,0,0,90,0,591.216,127.833,0.045,7.502e-4,9.792,NaN,66.892,NaN,88.057,15.21,0.002,0.576,0.442,0.014,0.12,0.158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.949,90,15,1013.249,0.001,340.389,0.007,1.422e5,6.706,35.315,0.003,0.017,1.506e-4
0.023,0.031,0.031,1.536,1.536,146.161,146.161,-2.862e-5,0,2.862e-5,270,0.001,0.103,28.61,-80.6,51.72,0,0,0,90,0,591.109,127.726,0.045,7.502e-4,9.792,NaN,66.889,NaN,92.189,15.927,0.003,0.567,0.433,0.014,0.12,0.258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.948,90,15,1013.249,0.001,340.389,0.007,1.549e5,6.706,35.315,0.003,0.019,1.967e-4
0.026,0.045,0.045,1.906,1.906,149.236,149.236,-3.966e-5,0,3.966e-5,270,0.001,0.121,28.61,-80.6,45.587,0,0,0,90,0,591.001,127.618,0.045,7.502e-4,9.792,NaN,66.885,NaN,93.991,16.241,0.006,0.557,0.423,0.014,0.12,0.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.947,90,15,1013.248,0.001,340.389,0.008,1.701e5,6.706,35.315,0.003,0.021,2.44e-4
0.028,0.063,0.063,2.29,2.29,156.606,156.607,-5.482e-5,0,5.482e-5,270,0.002,0.381,28.61,-80.6,40.317,0,0,0,90,0,590.887,127.505,0.045,7.502e-4,9.792,NaN,66.881,NaN,98.331,16.994,0.009,0.547,0.413,0.014,0.12,0.439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.945,90,15,1013.248,0.001,340.389,0.009,1.875e5,6.706,35.315,0.004,0.023,2.931e-4
# Event LIFTOFF occurred at t=0.032 seconds
0.032,0.092,0.092,2.836,2.836,155.493,155.493,-8.929e-5,0,8.929e-5,270,0.004,0,28.61,-80.6,34.371,0,0,0,90,0,590.726,127.344,0.045,7.501e-4,9.792,NaN,66.875,NaN,97.652,16.882,0.013,0.534,0.4,0.014,0.12,0.527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.943,90,15,1013.247,0.001,340.389,0.01,2.146e5,6.706,35.315,0.006,0.024,3.631e-4
0.038,0.157,0.157,3.792,3.792,163.257,163.257,-1.623e-4,0,1.623e-4,270,0.004,0,28.61,-80.6,27.05,0,0,0,90,0,590.445,127.062,0.045,7.501e-4,9.792,NaN,66.864,NaN,102.2,17.676,0.024,0.515,0.381,0.014,0.12,0.606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.94,90,15,1013.244,0.001,340.389,0.013,2.659e5,6.706,35.315,0.009,0.026,4.855e-4
0.047,0.291,0.291,5.252,5.252,161.28,161.28,-2.718e-4,0,2.718e-4,270,0.004,0,28.61,-80.6,20.189,0,0,0,90,0,590.024,126.641,0.045,7.501e-4,9.792,NaN,66.849,NaN,100.98,17.478,0.043,0.492,0.358,0.014,0.12,0.633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.935,90,14.999,1013.24,0.001,340.389,0.016,3.495e5,6.706,35.315,0.01,0.027,6.725e-4
0.057,0.489,0.489,6.854,6.854,159.075,159.075,-3.934e-4,0,3.934e-4,270,0.004,0,28.61,-80.6,15.634,0,0,0,90,0,589.556,126.173,0.045,7.5e-4,9.792,NaN,66.832,NaN,99.624,17.257,0.067,0.474,0.34,0.014,0.12,0.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.922,90,14.999,1013.233,0.001,340.388,0.021,4.445e5,6.706,35.315,0.01,0.028,8.776e-4
