# Sim1FullTARC (Up to date)
# 343 data points written for 58 variables.
#
# Time (s),Altitude (ft),Altitude above sea level (ft),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,572.014,82,0.035,7.739e-4,9.792,NaN,59.827,NaN,0,0,0,0.6,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.455,90,4.444,1013.25,0.001,333.992,0.007,1.541e5,6.68,35.048,0.004,0.004,0
0.004,8.806e-4,8.806e-4,0.208,0.208,110.457,110.457,-2.6e-6,0,2.6e-6,270,4.957e-4,0.149,28.61,-80.6,85.156,0,0,0,90,0,571.945,81.931,0.035,7.739e-4,9.792,NaN,59.824,NaN,68.776,12.28,1.169e-5,0.6,0,0,0,8.662e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.453,90,4.444,1013.25,0.001,333.992,0.007,1.545e5,6.68,35.048,0.006,0.006,2.661e-5
0.01,0.012,0.012,0.872,0.872,110.799,110.799,-2.137e-5,0,2.137e-5,270,0.001,0.164,28.61,-80.6,70.407,0,0,0,90,0,571.738,81.724,0.035,7.739e-4,9.792,NaN,59.815,NaN,68.947,12.315,7.254e-4,0.6,0,0,0,0.048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.45,90,4.444,1013.25,0.001,333.992,0.008,1.632e5,6.68,35.048,0.003,0.006,1.116e-4
0.013,0.022,0.022,1.204,1.204,110.969,110.969,-3.788e-5,0,3.788e-5,270,0.002,0.178,28.61,-80.6,63.793,0,0,0,90,0,571.634,81.62,0.035,7.739e-4,9.792,NaN,59.811,NaN,69.033,12.333,0.002,0.6,0,0,0,0.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.449,90,4.444,1013.249,0.001,333.992,0.008,1.712e5,6.68,35.048,0.005,0.007,1.542e-4
0.018,0.046,0.046,1.765,1.765,113.246,113.246,-7.733e-5,0,7.733e-5,270,0.003,0.211,28.61,-80.6,54.158,0,0,0,90,0,571.46,81.445,0.035,7.739e-4,9.792,NaN,59.803,NaN,70.316,12.566,0.005,0.6,0,0,0,0.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.446,90,4.444,1013.248,0.001,333.992,0.009,1.892e5,6.68,35.048,0.009,0.007,2.26e-4
# Event LIFTOFF occurred at t=0.027 seconds
0.027,0.113,0.113,2.792,2.792,115.096,115.096,-1.947e-4,0,1.947e-4,270,0.006,0,28.61,-80.6,41.099,0,0,0,90,0,571.14,81.126,0.035,7.739e-4,9.792,NaN,59.789,NaN,71.343,12.756,0.014,0.6,0,0,0,0.467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.442,90,4.444,1013.246,0.001,333.992,0.011,2.326e5,6.68,35.048,0.01,0.008,3.575e-4
0.037,0.224,0.224,3.944,3.944,115.146,115.146,-3.828e-4,0,3.828e-4,270,0.006,0,28.61,-80.6,31.649,0,0,0,90,0,570.782,80.768,0.035,7.738e-4,9.792,NaN,59.774,NaN,71.343,12.764,0.031,0.6,0,0,0,0.638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.436,90,4.444,1013.242,0.001,333.992,0.014,2.908e5,6.68,35.048,0.01,0.008,5.049e-4
0.047,0.372,0.372,5.095,5.095,115.187,115.187,-5.71e-4,0,5.71e-4,270,0.006,0,28.61,-80.6,25.458,0,0,0,90,0,570.425,80.41,0.034,7.738e-4,9.792,NaN,59.758,NaN,71.343,12.772,0.052,0.6,0,0,0,0.726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.431,90,4.444,1013.236,0.001,333.992,0.017,3.542e5,6.68,35.048,0.01,0.008,6.524e-4
0.057,0.558,0.558,6.247,6.247,115.222,115.222,-7.591e-4,0,7.591e-4,270,0.006,0,28.61,-80.6,21.2,0,0,0,90,0,570.067,80.053,0.034,7.738e-4,9.792,NaN,59.743,NaN,71.343,12.78,0.077,0.6,0,0,0,0.766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.429,90,4.444,1013.229,0.001,333.992,0.02,4.206e5,6.68,35.048,0.003,0.009,7.999e-4
