# SimN-1 V1 (Up to date)
# 473 data points written for 58 variables.
#
# Time (s),Altitude (ft),Altitude above sea level (ft),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,556.021,128.2,0.04,6.046e-4,9.792,NaN,64.138,NaN,0,0,0,0.584,0.45,0.014,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.763,90,15,1013.25,0.001,340.389,0.005,1.079e5,6.706,35.315,0.006,0.004,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,556.02,128.198,0.04,6.046e-4,9.792,NaN,64.137,NaN,1.158,0.213,0,0.584,0.45,0.014,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.762,90,15,1013.25,0.001,340.389,0.005,1.078e5,6.706,35.315,0.003,0.007,0
0.009,0,0,0.006,0.006,15.489,15.489,0,0,0,0,2.445e-5,0.059,28.61,-80.6,89.79,0,0,0,90,0,556.011,128.189,0.04,6.046e-4,9.792,NaN,64.137,NaN,14.057,2.582,0,0.584,0.45,0.014,0.12,7.203e-8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.761,90,15,1013.25,0.001,340.389,0.005,1.078e5,6.706,35.315,0.003,0.007,8.263e-7
0.011,4.136e-4,4.136e-4,0.121,0.121,78.659,78.659,-8.021e-7,0,8.021e-7,270,1.712e-4,0.059,28.61,-80.6,86.078,0,0,0,90,0,555.973,128.152,0.04,6.046e-4,9.792,NaN,64.136,NaN,49.177,9.033,3.042e-6,0.584,0.45,0.014,0.12,4.515e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.761,90,15,1013.25,0.001,340.389,0.005,1.08e5,6.706,35.315,0.003,0.008,1.546e-5
0.014,0.002,0.002,0.374,0.374,104.162,104.162,-2.814e-6,0,2.814e-6,270,3.202e-4,0.061,28.61,-80.6,78.017,0,0,0,90,0,555.905,128.084,0.04,6.046e-4,9.792,NaN,64.133,NaN,63.348,11.637,8.211e-5,0.581,0.447,0.014,0.12,0.012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.76,90,15,1013.25,0.001,340.389,0.005,1.101e5,6.706,35.315,0.003,0.008,4.783e-5
0.016,0.007,0.007,0.625,0.625,96.043,96.043,-6.075e-6,0,6.075e-6,270,4.764e-4,0.064,28.61,-80.6,70.451,0,0,0,90,0,555.833,128.012,0.04,6.045e-4,9.792,NaN,64.131,NaN,58.827,10.808,3.473e-4,0.577,0.443,0.014,0.12,0.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.76,90,15,1013.25,0.001,340.389,0.005,1.143e5,6.706,35.315,0.003,0.009,7.999e-5
0.019,0.013,0.013,0.909,0.909,129.541,129.541,-1.066e-5,0,1.066e-5,270,6.447e-4,0.071,28.61,-80.6,62.67,0,0,0,90,0,555.752,127.93,0.04,6.045e-4,9.792,NaN,64.128,NaN,77.435,14.229,9.495e-4,0.571,0.437,0.014,0.12,0.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.76,90,15,1013.25,0.001,340.389,0.006,1.211e5,6.706,35.315,0.003,0.009,1.164e-4
0.021,0.022,0.022,1.26,1.26,148.678,148.678,-1.671e-5,0,1.671e-5,270,8.346e-4,0.082,28.61,-80.6,54.379,0,0,0,90,0,555.654,127.833,0.04,6.045e-4,9.792,NaN,64.124,NaN,88.057,16.184,0.002,0.561,0.427,0.014,0.12,0.215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.759,90,15,1013.249,0.001,340.389,0.006,1.324e5,6.706,35.315,0.003,0.01,1.613e-4
0.023,0.033,0.033,1.644,1.644,156.143,156.143,-2.444e-5,0,2.444e-5,270,0.001,0.098,28.61,-80.6,46.907,0,0,0,90,0,555.548,127.726,0.04,6.045e-4,9.792,NaN,64.12,NaN,92.189,16.946,0.004,0.55,0.416,0.014,0.12,0.328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.759,90,15,1013.249,0.001,340.389,0.007,1.473e5,6.706,35.315,0.003,0.01,2.105e-4
0.026,0.049,0.049,2.039,2.039,159.416,159.416,-3.555e-5,0,3.555e-5,270,0.002,0.316,28.61,-80.6,40.745,0,0,0,90,0,555.439,127.618,0.04,6.045e-4,9.792,NaN,64.116,NaN,93.991,17.281,0.007,0.539,0.405,0.014,0.12,0.425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.758,90,15,1013.248,0.001,340.389,0.008,1.647e5,6.706,35.315,0.003,0.01,2.61e-4
# Event LIFTOFF occurred at t=0.028 seconds
0.028,0.067,0.067,2.449,2.449,167.26,167.26,-5.314e-5,0,5.314e-5,270,0.003,0,28.61,-80.6,35.628,0,0,0,90,0,555.326,127.505,0.04,6.045e-4,9.792,NaN,64.112,NaN,98.331,18.083,0.01,0.528,0.394,0.014,0.12,0.501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.758,90,15,1013.248,0.001,340.389,0.009,1.844e5,6.706,35.315,0.004,0.011,3.135e-4
0.032,0.098,0.098,3.032,3.032,166.078,166.078,-8.254e-5,0,8.254e-5,270,0.003,0,28.61,-80.6,30.053,0,0,0,90,0,555.165,127.344,0.04,6.045e-4,9.792,NaN,64.106,NaN,97.652,17.963,0.015,0.514,0.38,0.014,0.12,0.569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.757,90,15,1013.246,0.001,340.389,0.01,2.144e5,6.706,35.315,0.006,0.011,3.882e-4
0.038,0.168,0.168,4.053,4.053,174.344,174.344,-1.329e-4,0,1.329e-4,270,0.003,0,28.61,-80.6,23.39,0,0,0,90,0,554.884,127.062,0.04,6.044e-4,9.792,NaN,64.096,NaN,102.2,18.809,0.026,0.494,0.361,0.014,0.12,0.617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.756,90,15,1013.244,0.001,340.389,0.013,2.702e5,6.706,35.315,0.009,0.011,5.19e-4
0.047,0.311,0.311,5.613,5.613,172.247,172.247,-2.085e-4,0,2.085e-4,270,0.003,0,28.61,-80.6,17.33,0,0,0,90,0,554.463,126.641,0.04,6.044e-4,9.792,NaN,64.081,NaN,100.98,18.599,0.046,0.472,0.338,0.014,0.12,0.614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.754,90,14.999,1013.239,0.001,340.389,0.017,3.598e5,6.706,35.315,0.01,0.012,7.187e-4
0.057,0.523,0.523,7.324,7.324,169.909,169.909,-2.925e-4,0,2.925e-4,270,0.003,0,28.61,-80.6,13.445,0,0,0,90,0,553.995,126.173,0.04,6.043e-4,9.792,NaN,64.063,NaN,99.624,18.365,0.071,0.454,0.32,0.014,0.12,0.575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.754,90,14.999,1013.231,0.001,340.388,0.022,4.608e5,6.706,35.315,0.01,0.012,9.377e-4
0.067,0.791,0.791,9.011,9.011,167.563,167.563,-3.764e-4,0,3.764e-4,270,0.003,0,28.61,-80.6,10.996,0,0,0,90,0,553.527,125.705,0.04,6.043e-4,9.792,NaN,64.046,NaN,98.268,18.13,0.098,0.441,0.307,0.014,0.12,0.536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.754,90,14.998,1013.222,0.001,340.388,0.027,5.617e5,6.706,35.315,0.007,0.012,0.001
0.074,1.012,1.012,10.178,10.178,165.915,165.915,-4.352e-4,0,4.352e-4,270,0.003,0,28.61,-80.6,9.761,0,0,0,90,0,553.199,125.378,0.04,6.043e-4,9.792,NaN,64.034,NaN,97.319,17.965,0.118,0.434,0.3,0.014,0.12,0.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.754,90,14.998,1013.214,0.001,340.388,0.03,6.32e5,6.706,35.315,0.01,0.013,0.001
0.084,1.366,1.366,11.806,11.806,165.327,165.327,-5.177e-4,0,5.177e-4,270,0.003,0,28.61,-80.6,8.436,0,0,0,90,0,552.755,124.934,0.04,6.042e-4,9.792,NaN,64.018,NaN,96.949,17.911,0.151,0.426,0.292,0.014,0.12,0.489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.754,90,14.997,1013.201,0.001,340.387,0.035,7.303e5,6.706,35.315,0.008,0.013,0.002
0.092,1.713,1.713,13.204,13.204,164.81,164.81,-5.889e-4,0,5.889e-4,270,0.003,0,28.61,-80.6,7.554,0,0,0,90,0,552.372,124.551,0.04,6.042e-4,9.792,NaN,64.004,NaN,96.629,17.865,0.184,0.426,0.292,0.014,0.12,0.479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.754,90,14.997,1013.189,0.001,340.387,0.039,8.15e5,6.706,35.315,0.008,0.013,0.002
0.1,2.057,2.057,14.45,14.45,164.342,164.342,-6.524e-4,0,6.524e-4,270,0.003,0,28.61,-80.6,6.909,0,0,0,90,0,552.03,124.208,0.04,6.041e-4,9.792,NaN,63.991,NaN,96.344,17.823,0.216,0.426,0.292,0.014,0.12,0.472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.754,90,14.996,1013.176,0.001,340.386,0.043,8.906e5,6.706,35.315,0.007,0.014,0.002
0.107,2.398,2.398,15.586,15.586,163.91,163.91,-7.106e-4,0,7.106e-4,270,0.003,0,28.61,-80.6,6.393,0,0,0,90,0,551.717,123.896,0.04,6.041e-4,9.792,NaN,63.98,NaN,96.083,17.785,0.248,0.426,0.292,0.014,0.12,0.467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.749,90,14.995,1013.164,0.001,340.386,0.046,9.596e5,6.706,35.315,0.006,0.014,0.002
0.113,2.737,2.737,16.636,16.636,163.505,163.505,-7.644e-4,0,7.644e-4,270,0.003,0,28.61,-80.6,5.977,0,0,0,90,0,551.427,123.606,0.04,6.041e-4,9.792,NaN,63.969,NaN,95.841,17.749,0.28,0.426,0.292,0.014,0.12,0.462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.744,90,14.995,1013.152,0.001,340.386,0.049,1.023e6,6.706,35.315,0.006,0.014,0.002
0.119,3.075,3.075,17.618,17.618,163.123,163.123,-8.149e-4,0,8.149e-4,270,0.003,0,28.61,-80.6,5.633,0,0,0,90,0,551.155,123.334,0.04,6.041e-4,9.792,NaN,63.959,NaN,95.614,17.716,0.311,0.426,0.292,0.014,0.12,0.459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.74,90,14.994,1013.14,0.001,340.385,0.052,1.083e6,6.706,35.315,0.005,0.015,0.002
# Event LAUNCHROD occurred at t=0.124 seconds
0.124,3.358,3.358,18.398,18.398,162.816,162.822,-8.551e-4,0,8.551e-4,270,0.003,1.421,28.61,-80.6,5.385,0,0,0,90,0,550.939,123.118,0.04,6.04e-4,9.792,64.485,63.951,0.08,95.433,17.69,0.337,0.426,0.292,0.014,0.12,0.456,1.058,0.084,3.033e-4,0,0,0,0,0,1.737,90,14.993,1013.13,0.001,340.385,0.054,1.131e6,6.706,35.315,0.007,0.015,0.002
0.131,3.804,3.804,19.567,19.567,163.045,163.052,-0.001,0,0.001,270,0.013,1.483,28.61,-80.6,5.02,0,0.052,-2.704e-5,90,89.981,550.611,122.79,0.04,6.04e-4,9.792,64.65,63.939,0.106,95.544,17.721,0.378,0.426,0.292,0.014,0.12,0.453,0.977,0.103,-4.774e-4,0,0,0,0,4.848e-7,1.732,90,14.992,1013.114,0.001,340.384,0.058,1.202e6,6.706,35.315,0.011,0.016,0.003
0.142,4.526,4.526,21.324,21.324,163.381,163.388,-0.002,0,0.002,270,0.029,1.57,28.61,-80.6,4.543,0,0.161,3.363e-4,89.999,90.076,550.119,122.298,0.04,6.039e-4,9.792,64.871,63.92,0.142,95.71,17.767,0.444,0.426,0.292,0.014,0.121,0.449,0.874,0.124,-3.635e-4,0,0,0,0,3.936e-6,1.724,90,14.991,1013.088,0.001,340.383,0.063,1.309e6,6.706,35.315,0.016,0.016,0.003
0.158,5.726,5.726,23.966,23.966,163.865,163.874,-0.004,-1.036e-8,0.004,270,0.056,1.708,28.61,-80.6,4,0,0.394,5.899e-4,89.994,90.099,549.382,121.561,0.04,6.039e-4,9.792,65.13,63.893,0.184,95.959,17.837,0.555,0.426,0.292,0.014,0.121,0.444,0.758,0.14,1.875e-4,0,0,0,0,1.871e-5,1.734,90,14.989,1013.045,0.001,340.382,0.071,1.47e6,6.706,35.315,0.024,0.017,0.003
0.182,7.788,7.788,27.943,27.943,164.548,164.559,-0.01,-8.722e-8,0.01,270,0.1,1.913,28.61,-80.6,3.421,0,0.896,5.007e-4,89.979,90.068,548.276,120.454,0.04,6.037e-4,9.792,65.416,63.851,0.233,96.332,17.943,0.746,0.427,0.292,0.014,0.121,0.44,0.638,0.149,-2.47e-4,0,0,0,0,7.12e-5,1.781,90,14.985,1012.972,0.001,340.38,0.082,1.713e6,6.706,35.315,0.036,0.017,0.004
0.219,11.476,11.476,33.938,33.939,165.48,165.491,-0.026,-6.271e-7,0.026,269.999,0.172,1.94,28.61,-80.6,2.59,0,1.992,0.002,89.928,90.06,546.616,118.795,0.039,6.036e-4,9.792,65.845,63.789,0.307,96.891,18.102,1.086,0.427,0.291,0.014,0.121,0.435,0.472,0.145,-1.261e-4,0,0,0,0,2.39e-4,1.75,90,14.977,1012.84,0.001,340.375,0.1,2.078e6,6.706,35.315,0.05,0.017,0.004
0.269,17.723,17.723,42.24,42.241,166.569,166.575,-0.062,-3.924e-6,0.062,269.996,0.257,1.411,28.61,-80.6,1.653,0,3.982,0.007,89.78,90.07,544.332,116.511,0.039,6.033e-4,9.792,66.358,63.703,0.396,97.662,18.322,1.666,0.428,0.291,0.015,0.122,0.432,0.294,0.116,-4.888e-4,0,0,0,0,6.171e-4,1.638,90,14.965,1012.616,0.001,340.368,0.124,2.585e6,6.706,35.315,0.05,0.018,0.005
