date,temp(f),altitude(ft),wind_speed(mph),gusts,pressure(inHg),final_mass(g),ballast_mass(g),duration(s),egg(true/false),motor,time_of_day
11.15,41,792,6,8,30.12,580,0,38.2,true,F-51, 9:25
11.15,60,722,8,11,29.98,610,30,38,true,F-51, 9:45
11.15,42,793,3,5,30.14,650,70,42,true,F-51,10:10
12.6,36,740,4,6,29.99,625,45,33,true,F-51, 10:15
12.6,40,752,4,6,29.94,624,44,33,true,F-51, 11:15
12.20,38,766,4,7,30.28,620,40,32.8,true,F-51,9:15
12.20,41,714,4,6,30.27,622,42,30.95,true,F-51,9:45
12.20,43,752,4,6,30.26,622,42,34.1,true,F-51,10:25
12.20,45,748,4,7,30.25,622,42,31.6,true,F-51,10:55
12.20,46,776,3,5,30.24,623,43,33.96,true,F-51,11:20
12.20,49,749,3,5,30.24,624,44,36.25,true,F-51,12:00
12.20,50,738,3,6,30.22,622,42,33.24,true,F-51,12:45
3.7,63,724,7,10,30.22,641,61,32.9,true,F-51,8:35
3.7,68,705,8,16,30.21,637,57,36.8,true,F-51,9:25
3.7,71,678,9,15,30.19,635,55,30.56,true,F-51,10:15
3.7,72,775,10,17,30.18,616,36,40.43,true,F-51,11:50
3.7,76,792,12,18,30.14,620,40,38.29,true,F-51,12:55
3.7,77,697,12,18,30.13,620,40,30.96,true,F-51,1:45
3.14,45,765,5,9,30.12,620,40,35.1,true,F-51,8:25
3.14,48,758,4,8,30.13,622,42,38,true,F-51,8:55
3.14,52,776,5,9,30.14,623,43,39.24,true,F-51,9:20
3.14,55,768,6,9,30.15,627,47,37,true,F-51,10:00
3.30,47,677,14,26,30.75,609,29,28.5,true,F-35,10:45
3.30,47,723,14,26,30.63,609,29,35.8,true,F-35,11:50 
3.30,47,698,15,26,30.57,612,32,32.3,true,F-35,1:15  
3.30,47,737,17,25,30.41,616,34,35.5,true,F-35,2:15 
3.30,47,674,16,26,30.32,613,33,37.37,true,F-51,3:05 
3.30,47,744,16,26,30.29,620,40,38.77,true,F-51,3:40 
